ObjectDN,ObjectClass,ObjectGUID,NamingContext,AceTrusteeSid,AceTrusteeName,AceTrusteePrincipalType,EffectiveTrusteeSid,EffectiveTrusteeName,EffectiveTrusteePrincipalType,EffectiveTrusteeDN,IsThroughGroup,GroupExpansionPath,AceType,AceIndex,AccessControlType,RightsDecoded,AccessMask,ObjectTypeGuid,ObjectTypeName,ObjectTypeKind,InheritedObjectTypeGuid,InheritedObjectTypeName,IsInherited,IsDaclProtected,InheritanceSourceDN,InheritanceSourceNote,InheritanceFlags,AceFlagsRaw,CollectedAt
"CN=Jane Doe,OU=Employees,DC=corp,DC=example,DC=com",user,8a7d4f0e-1c92-4b3a-9d11-7f6a2e0c5b41,Domain,S-1-5-18,NT AUTHORITY\SYSTEM,WellKnown,S-1-5-18,NT AUTHORITY\SYSTEM,WellKnown,,false,,Synthetic.Owner,-1,Allow,OwnerImplicit,393280,,,All,,,false,false,,,None,0,2026-05-15T13:30:00Z
"CN=Jane Doe,OU=Employees,DC=corp,DC=example,DC=com",user,8a7d4f0e-1c92-4b3a-9d11-7f6a2e0c5b41,Domain,S-1-5-21-1111111111-2222222222-3333333333-512,CORP\Domain Admins,Group,S-1-5-21-1111111111-2222222222-3333333333-512,CORP\Domain Admins,Group,"CN=Domain Admins,CN=Users,DC=corp,DC=example,DC=com",false,,AccessAllowed,0,Allow,GenericAll,983551,,,All,,,false,false,,,None,0,2026-05-15T13:30:00Z
"CN=Jane Doe,OU=Employees,DC=corp,DC=example,DC=com",user,8a7d4f0e-1c92-4b3a-9d11-7f6a2e0c5b41,Domain,S-1-5-11,NT AUTHORITY\Authenticated Users,WellKnown,S-1-5-11,NT AUTHORITY\Authenticated Users,WellKnown,,false,,AccessAllowed,1,Allow,"ReadProperty,GenericExecute",131076,,,All,,,true,false,"DC=corp,DC=example,DC=com",,"ContainerInherit",2,2026-05-15T13:30:00Z
"CN=Jane Doe,OU=Employees,DC=corp,DC=example,DC=com",user,8a7d4f0e-1c92-4b3a-9d11-7f6a2e0c5b41,Domain,S-1-5-10,NT AUTHORITY\SELF,WellKnown,S-1-5-10,NT AUTHORITY\SELF,WellKnown,,false,,AccessAllowedObject,2,Allow,"ReadProperty,WriteProperty",48,77B5B886-944A-11d1-AEBD-0000F80367C1,Personal-Information,PropertySet,bf967aba-0de6-11d0-a285-00aa003049e2,user,true,false,"DC=corp,DC=example,DC=com",,"ContainerInherit,InheritOnly",10,2026-05-15T13:30:00Z
"CN=Jane Doe,OU=Employees,DC=corp,DC=example,DC=com",user,8a7d4f0e-1c92-4b3a-9d11-7f6a2e0c5b41,Domain,S-1-5-21-1111111111-2222222222-3333333333-1108,CORP\HelpDesk-Tier1,Group,S-1-5-21-1111111111-2222222222-3333333333-2451,CORP\alice.smith,User,"CN=Alice Smith,OU=IT,DC=corp,DC=example,DC=com",true,"CORP\HelpDesk-Tier1",AccessAllowedObject,3,Allow,ExtendedRight,256,00299570-246d-11d0-a768-00aa006e0529,User-Force-Change-Password,ExtendedRight,bf967aba-0de6-11d0-a285-00aa003049e2,user,true,false,"OU=Employees,DC=corp,DC=example,DC=com",,"ContainerInherit",2,2026-05-15T13:30:00Z
"CN=Jane Doe,OU=Employees,DC=corp,DC=example,DC=com",user,8a7d4f0e-1c92-4b3a-9d11-7f6a2e0c5b41,Domain,S-1-5-21-1111111111-2222222222-3333333333-1108,CORP\HelpDesk-Tier1,Group,S-1-5-21-1111111111-2222222222-3333333333-2477,CORP\bob.lee,User,"CN=Bob Lee,OU=IT,DC=corp,DC=example,DC=com",true,"CORP\HelpDesk-Tier1 -> CORP\HelpDesk-AllShifts",AccessAllowedObject,3,Allow,ExtendedRight,256,00299570-246d-11d0-a768-00aa006e0529,User-Force-Change-Password,ExtendedRight,bf967aba-0de6-11d0-a285-00aa003049e2,user,true,false,"OU=Employees,DC=corp,DC=example,DC=com",,"ContainerInherit",2,2026-05-15T13:30:00Z
"CN=Jane Doe,OU=Employees,DC=corp,DC=example,DC=com",user,8a7d4f0e-1c92-4b3a-9d11-7f6a2e0c5b41,Domain,S-1-5-21-1111111111-2222222222-3333333333-1205,CORP\Legacy-AppSvc,User,S-1-5-21-1111111111-2222222222-3333333333-1205,CORP\Legacy-AppSvc,User,"CN=Legacy-AppSvc,OU=ServiceAccounts,DC=corp,DC=example,DC=com",false,,AccessDeniedObject,4,Deny,WriteProperty,32,bf967a0a-0de6-11d0-a285-00aa003049e2,userPassword,Property,,,false,false,,,None,0,2026-05-15T13:30:00Z
"CN=Domain Admins,CN=Users,DC=corp,DC=example,DC=com",group,b2c1aa50-d8f5-4f7b-8e0c-44ad1f3b9c22,Domain,S-1-5-21-1111111111-2222222222-3333333333-519,CORP\Enterprise Admins,Group,S-1-5-21-1111111111-2222222222-3333333333-500,CORP\Administrator,User,"CN=Administrator,CN=Users,DC=corp,DC=example,DC=com",true,"CORP\Enterprise Admins",AccessAllowed,1,Allow,GenericAll,983551,,,All,,,false,true,,,None,0,2026-05-15T13:30:00Z
"CN=Domain Admins,CN=Users,DC=corp,DC=example,DC=com",group,b2c1aa50-d8f5-4f7b-8e0c-44ad1f3b9c22,Domain,S-1-5-21-9999999999-8888888888-7777777777-1042,S-1-5-21-9999999999-8888888888-7777777777-1042,Orphaned,S-1-5-21-9999999999-8888888888-7777777777-1042,S-1-5-21-9999999999-8888888888-7777777777-1042,Orphaned,,false,,AccessAllowed,2,Allow,"ReadProperty,ListChildren,ReadControl",131220,,,All,,,false,true,,,None,0,2026-05-15T13:30:00Z
"OU=Employees,DC=corp,DC=example,DC=com",organizationalUnit,4f3e2d1c-0b9a-4988-8776-665544332211,Domain,S-1-5-21-1111111111-2222222222-3333333333-1130,CORP\HR-Provisioning,Group,S-1-5-21-1111111111-2222222222-3333333333-1130,CORP\HR-Provisioning,Group,"CN=HR-Provisioning,OU=Groups,DC=corp,DC=example,DC=com",false,,AccessAllowedObject,0,Allow,CreateChild,1,bf967aba-0de6-11d0-a285-00aa003049e2,user,ClassChild,,,false,false,,,"ContainerInherit",2,2026-05-15T13:30:00Z
