EffectiveTrusteeSid,EffectiveTrusteeName,EffectiveTrusteePrincipalType,EffectiveTrusteeDN,TotalAceCount,DirectAceCount,IndirectAceCount,DistinctObjectCount,AllowAceCount,DenyAceCount,ExplicitAceCount,InheritedAceCount,RightsSummary,NamingContextsTouched,ObjectClassesTouched,CollectedAt
S-1-5-21-1111111111-2222222222-3333333333-500,CORP\Administrator,User,"CN=Administrator,CN=Users,DC=corp,DC=example,DC=com",4128,12,4116,2841,4128,0,18,4110,"GenericAll:2914; WriteDacl:602; WriteOwner:601; ReadControl:11",Domain;Configuration;Schema,user:1820; group:412; organizationalUnit:118; computer:486; classSchema:5,2026-05-15T13:30:00Z
S-1-5-21-1111111111-2222222222-3333333333-512,CORP\Domain Admins,Group,"CN=Domain Admins,CN=Users,DC=corp,DC=example,DC=com",3902,3902,0,2841,3902,0,3902,0,"GenericAll:2841; WriteDacl:531; WriteOwner:530",Domain;Configuration,user:1820; group:411; organizationalUnit:118; computer:485; container:7,2026-05-15T13:30:00Z
S-1-5-21-1111111111-2222222222-3333333333-2451,CORP\alice.smith,User,"CN=Alice Smith,OU=IT,DC=corp,DC=example,DC=com",1418,0,1418,1418,1418,0,0,1418,"ExtendedRight:1418 (User-Force-Change-Password:709, Send-As:355, Receive-As:354)",Domain,user:1418,2026-05-15T13:30:00Z
S-1-5-21-1111111111-2222222222-3333333333-2477,CORP\bob.lee,User,"CN=Bob Lee,OU=IT,DC=corp,DC=example,DC=com",1418,0,1418,1418,1418,0,0,1418,"ExtendedRight:1418 (User-Force-Change-Password:709, Send-As:355, Receive-As:354)",Domain,user:1418,2026-05-15T13:30:00Z
S-1-5-21-1111111111-2222222222-3333333333-2104,CORP\carol.nguyen,User,"CN=Carol Nguyen,OU=IT,DC=corp,DC=example,DC=com",47,0,47,12,47,0,0,47,"ReadProperty:12; WriteProperty:12; CreateChild:12; DeleteChild:11",DNS:DomainDnsZones;DNS:ForestDnsZones,domainDNS:2; dnsZone:9; dnsNode:1,2026-05-15T13:30:00Z
S-1-5-11,NT AUTHORITY\Authenticated Users,WellKnown,,2843,3,2840,2843,2843,0,3,2840,"ReadProperty:2826; GenericExecute:2826; ListChildren:14; Self:3",Domain;Configuration,user:1820; group:411; organizationalUnit:118; computer:486; container:8,2026-05-15T13:30:00Z
S-1-5-10,NT AUTHORITY\SELF,WellKnown,,1822,0,1822,1820,1822,0,0,1822,"WriteProperty:1820 (Personal-Information PropertySet); ReadProperty:2",Domain,user:1820; inetOrgPerson:2,2026-05-15T13:30:00Z
S-1-5-18,NT AUTHORITY\SYSTEM,WellKnown,,2841,2841,0,2841,2841,0,2841,0,"OwnerImplicit:2841",Domain;Configuration;Schema,user:1820; group:411; organizationalUnit:118; computer:486; classSchema:6,2026-05-15T13:30:00Z
S-1-5-32-548,BUILTIN\Account Operators,WellKnown,,486,0,486,486,486,0,0,486,"ReadProperty:486; WriteProperty:486",Domain,computer:486,2026-05-15T13:30:00Z
S-1-5-21-1111111111-2222222222-3333333333-1205,CORP\Legacy-AppSvc,User,"CN=Legacy-AppSvc,OU=ServiceAccounts,DC=corp,DC=example,DC=com",1,1,0,1,0,1,1,0,"WriteProperty:1 (userPassword)",Domain,user:1,2026-05-15T13:30:00Z
S-1-5-21-9999999999-8888888888-7777777777-1042,S-1-5-21-9999999999-8888888888-7777777777-1042,Orphaned,,1,1,0,1,1,0,1,0,"ReadProperty:1; ListChildren:1; ReadControl:1",Domain,group:1,2026-05-15T13:30:00Z
